country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp,inflation_log,development_index,trade_balance,health_impact_ratio,segment
Tajikistan,3.977810745966149,14.9,5.98,58.6,7.65491704784832,12.5,69.6,3.51,6.6052979209482015,2.9290581402859983,1.750454124886733,-43.7,1.5033394954911437,low gdp trap
Tanzania,4.289088639014612,18.7,6.01,29.1,7.645397699428633,9.25,59.3,5.43,6.555356891810665,2.738256043159276,1.2815932808913404,-10.400000000000002,1.401230076089254,low gdp trap
Thailand,2.766319109226186,66.5,3.88,60.8,9.510519035757246,4.08,76.6,1.55,8.533263371593732,2.331172549845958,5.3709290230610955,5.700000000000003,1.402585835834876,low gdp trap
Timor-Leste,4.152613470346076,2.2,9.12,27.8,7.523481312573497,26.5,71.1,6.23,8.188966863648876,3.4876808415502927,2.0170962665437466,-25.6,2.19620729574909,high inflation risk
Togo,4.514150787600923,40.2,7.65,57.3,7.099201743553092,1.18,58.7,4.87,6.192362489474872,2.0001277349601105,0.9740470277847807,-17.099999999999994,1.6946709048825652,low gdp trap
Tonga,2.91235066461494,12.4,5.07,60.3,8.513385953073284,3.68,69.9,3.91,8.174984532943087,2.2915241456346207,3.9489444052449745,-47.9,1.7408617930527732,low gdp trap
Tunisia,2.91235066461494,50.5,6.21,55.3,9.249657234353133,3.82,76.9,2.14,8.328692583545568,2.305580601973844,4.6996045886337265,-4.799999999999997,2.1322981725557635,low gdp trap
Turkey,3.0007198150650303,20.4,6.74,25.5,9.798182590890704,7.01,78.2,2.15,9.278092474027002,2.5817308344235403,5.12869917789838,-5.100000000000001,2.246127734472915,low gdp trap
Turkmenistan,4.143134726391533,76.3,2.5,44.5,9.204422898212146,2.31,67.9,2.83,8.398634855292102,2.1424163408412245,2.430997200931454,31.799999999999997,0.6034078457731876,low gdp trap
Uganda,4.406719247264253,17.1,9.01,28.6,7.340186835320115,10.6,56.8,6.15,6.39024066706535,2.821973947420524,1.0597049559134735,-11.5,2.044604953127777,low gdp trap
Ukraine,2.5416019934645457,47.1,7.72,51.1,8.964567702601611,13.4,70.4,1.44,7.9966538754626075,2.976039640208255,5.321187927728963,-4.0,3.0374543377960608,low gdp trap
United Arab Emirates,2.2617630984737906,77.7,3.66,63.6,10.961295207644392,12.5,76.5,1.87,10.463131911491967,2.9290581402859983,10.56110335871548,14.100000000000001,1.6182066116781737,low gdp trap
United Kingdom,1.824549292051046,28.2,9.64,30.8,10.49684202174171,1.57,80.3,1.92,10.568775236216993,2.0515563381903004,19.09212773784946,-2.6000000000000014,5.283496610367433,low gdp trap
United States,2.1162555148025524,12.4,17.9,15.8,10.807725945886109,1.22,78.7,1.93,10.78727575364831,2.005525858729668,12.729193768890608,-3.4000000000000004,8.45833590263323,low gdp trap
Uruguay,2.451005098112319,26.3,8.35,25.4,9.746892220313054,4.91,76.4,2.08,9.38437770918244,2.4087452888224363,7.441870289080594,0.9000000000000021,3.406765659700539,low gdp trap
Uzbekistan,3.6189933266497696,31.7,5.81,28.5,8.352554369474591,16.5,68.8,2.34,7.2305631534092925,3.122805356117467,2.3969808857602626,3.1999999999999993,1.6054188210892675,high inflation risk
Vanuatu,3.407841924380824,46.6,5.25,52.7,7.989899374942939,2.62,63.0,3.5,7.9966538754626075,2.178155014615869,2.525618719516952,-6.100000000000001,1.5405644148103732,low gdp trap
Venezuela,2.89591193827178,28.5,4.91,17.6,9.711176264112805,45.9,75.4,2.47,9.510519035757246,3.9533568689211234,5.377129859934102,10.899999999999999,1.6954935456118136,high inflation risk
Vietnam,3.190476350346503,72.0,6.84,80.2,8.409830673087738,12.1,73.1,1.95,7.1785454837637,2.907447358686419,3.1200639617011876,-8.200000000000003,2.143880489588064,low gdp trap
Yemen,4.048300623720694,30.0,5.18,34.4,8.407601514786142,23.6,67.5,4.67,7.1785454837637,3.3948439076899803,1.9901958572520009,-4.399999999999999,1.2795492433660198,high inflation risk
Zambia,4.432006566978902,37.0,5.89,30.9,8.0959035329611,14.0,52.0,5.4,7.2868764117507,3.00617753141553,1.3011645803028908,6.100000000000001,1.3289691499746457,low gdp trap
